Subcategory,countryISO3,population,hoursPerDayCombined,,,
Physical child care,ROU,20471860,0.18,,,
Physical child care,RUS,145734034,0.49,,,
Physical child care,RWA,12301969,0.31,,,
Physical child care,SAU,34268529,0.25,,,
Physical child care,SEN,16296362,0.31,,,
Physical child care,SGP,5804343,0.26,,,
Physical child care,SLB,571329,0.31,,,
Physical child care,SLE,7650149,0.29,,,
Physical child care,SLV,6183877,0.46,,,
Physical child care,SOM,15442906,0.29,,,
Physical child care,SRB,8963761,0.22,,,
Physical child care,SSD,11062114,0.29,,,
Physical child care,STP,215048,0.27,,,
Physical child care,SUR,581363,0.32,,,
Physical child care,SVK,5457012,0.4,,,
Physical child care,SVN,2023049,0.23,,,
Physical child care,SWE,9139759,0.3,,,
Physical child care,SWZ,1113994,0.19,,,
Physical child care,SYC,97741,0.29,,,
Physical child care,SYR,17070132,0.25,,,
Physical child care,TCD,15946882,0.27,,,
Physical child care,TGO,8082359,0.3,,,
Physical child care,THA,68714519,0.26,,,
Physical child care,TJK,9321023,0.26,,,
Physical child care,TKM,5942094,0.26,,,
Physical child care,TLS,1293120,0.26,,,
Physical child care,TON,103199,0.26,,,
Physical child care,TTO,1394969,0.7,,,
Physical child care,TUN,11694721,0.18,,,
Physical child care,TUR,72326992,0.23,,,
Physical child care,TWN,23773881,0.14,,,
Physical child care,TZA,49960563,0.27,,,
Physical child care,UGA,41166588,0.29,,,
Physical child care,UKR,44487708,0.42,,,
Physical child care,URY,3449290,0.34,,,
Physical child care,USA,329064917,0.25,,,
Physical child care,UZB,32981715,0.26,,,
Physical child care,VCT,110593,0.7,,,
Physical child care,VEN,29402480,0.32,,,
Physical child care,VIR,104579,0.7,,,
Physical child care,VNM,96462108,0.26,,,
Physical child care,VUT,299882,0.27,,,
Physical child care,WSM,197093,0.26,,,
Physical child care,YEM,25823488,0.25,,,
Physical child care,ZAF,51216967,0.21,,,
Physical child care,ZMB,17861034,0.29,,,
Physical child care,ZWE,14645473,0.3,,,
