Subcategory,countryISO3,population,hoursPerDayCombined,,,
Sleep & bedrest,MYT,266153,8.93,,,
Sleep & bedrest,NAM,2448300,9.73,,,
Sleep & bedrest,NCL,282757,8.5,,,
Sleep & bedrest,NER,21602388,8.83,,,
Sleep & bedrest,NGA,200963603,8.83,,,
Sleep & bedrest,NIC,5982530,8.21,,,
Sleep & bedrest,NLD,16682927,8.81,,,
Sleep & bedrest,NOR,4885878,8.52,,,
Sleep & bedrest,NPL,27632682,9.49,,,
Sleep & bedrest,NZL,4323338,9.21,,,
Sleep & bedrest,OMN,4974992,9.85,,,
Sleep & bedrest,PAK,191260799,8.99,,,
Sleep & bedrest,PAN,3901311,8.21,,,
Sleep & bedrest,PER,32510462,8.78,,,
Sleep & bedrest,PHL,108116622,8.5,,,
Sleep & bedrest,PNG,8776119,8.5,,,
Sleep & bedrest,POL,38329784,8.89,,,
Sleep & bedrest,PRI,2933404,8.21,,,
Sleep & bedrest,PRK,25666158,9.15,,,
Sleep & bedrest,PRT,10226178,8.83,,,
Sleep & bedrest,PRY,7044639,8.78,,,
Sleep & bedrest,PSE,4981422,9.45,,,
Sleep & bedrest,PYF,279285,8.5,,,
Sleep & bedrest,QAT,2832071,9.45,,,
Sleep & bedrest,REU,888932,8.93,,,
Sleep & bedrest,ROU,20471860,9.14,,,
Sleep & bedrest,RUS,145734034,8.91,,,
Sleep & bedrest,RWA,12301969,8.93,,,
Sleep & bedrest,SAU,34268529,9.45,,,
Sleep & bedrest,SEN,16296362,8.83,,,
Sleep & bedrest,SGP,5804343,8.5,,,
Sleep & bedrest,SLB,571329,8.5,,,
Sleep & bedrest,SLE,7650149,8.83,,,
Sleep & bedrest,SLV,6183877,8.19,,,
Sleep & bedrest,SOM,15442906,8.93,,,
Sleep & bedrest,SRB,8963761,8.67,,,
Sleep & bedrest,SSD,11062114,8.93,,,
Sleep & bedrest,STP,215048,9.79,,,
Sleep & bedrest,SUR,581363,8.78,,,
Sleep & bedrest,SVK,5457012,8.95,,,
Sleep & bedrest,SVN,2023049,8.63,,,
Sleep & bedrest,SWE,9139759,8.37,,,
Sleep & bedrest,SWZ,1113994,9.73,,,
Sleep & bedrest,SYC,97741,8.93,,,
Sleep & bedrest,SYR,17070132,9.45,,,
Sleep & bedrest,TCD,15946882,9.79,,,
Sleep & bedrest,TGO,8082359,8.83,,,
Sleep & bedrest,THA,68714519,8.5,,,
Sleep & bedrest,TJK,9321023,8.74,,,
Sleep & bedrest,TKM,5942094,8.74,,,
Sleep & bedrest,TLS,1293120,8.5,,,
Sleep & bedrest,TON,103199,8.5,,,
Sleep & bedrest,TTO,1394969,8.21,,,
Sleep & bedrest,TUN,11694721,8.55,,,
Sleep & bedrest,TUR,72326992,9.14,,,
Sleep & bedrest,TWN,23773881,9.15,,,
Sleep & bedrest,TZA,49960563,8.97,,,
Sleep & bedrest,UGA,41166588,8.93,,,
Sleep & bedrest,UKR,44487708,8.95,,,
Sleep & bedrest,URY,3449290,8.78,,,
Sleep & bedrest,USA,329064917,9.17,,,
Sleep & bedrest,UZB,32981715,8.74,,,
Sleep & bedrest,VCT,110593,8.21,,,
Sleep & bedrest,VEN,29402480,8.78,,,
Sleep & bedrest,VIR,104579,8.21,,,
Sleep & bedrest,VNM,96462108,8.5,,,
Sleep & bedrest,VUT,299882,8.5,,,
Sleep & bedrest,WSM,197093,8.5,,,
Sleep & bedrest,YEM,25823488,9.45,,,
Sleep & bedrest,ZAF,51216967,9.73,,,
Sleep & bedrest,ZMB,17861034,8.93,,,
Sleep & bedrest,ZWE,14645473,8.93,,,
