Subcategory,countryISO3,population,hoursPerDayCombined,,,
Health care,SWE,9139759,0.38,,,
Health care,SWZ,1113994,0.12,,,
Health care,SYC,97741,0.36,,,
Health care,SYR,17070132,0.13,,,
Health care,TCD,15946882,0.05,,,
Health care,TGO,8082359,0.25,,,
Health care,THA,68714519,0.4,,,
Health care,TJK,9321023,0.29,,,
Health care,TKM,5942094,0.29,,,
Health care,TLS,1293120,0.39,,,
Health care,TON,103199,0.4,,,
Health care,TTO,1394969,0.48,,,
Health care,TUN,11694721,0.1,,,
Health care,TUR,72326992,0.09,,,
Health care,TWN,23773881,0.08,,,
Health care,TZA,49960563,0.4,,,
Health care,UGA,41166588,0.37,,,
Health care,UKR,44487708,0.14,,,
Health care,URY,3449290,0.19,,,
Health care,USA,329064917,0.45,,,
Health care,UZB,32981715,0.29,,,
Health care,VCT,110593,0.48,,,
Health care,VEN,29402480,0.14,,,
Health care,VIR,104579,0.48,,,
Health care,VNM,96462108,0.39,,,
Health care,VUT,299882,0.4,,,
Health care,WSM,197093,0.39,,,
Health care,YEM,25823488,0.1,,,
Health care,ZAF,51216967,0.1,,,
Health care,ZMB,17861034,0.37,,,
Health care,ZWE,14645473,0.36,,,
